equipo,partido,ptiempo,con,segundos,tag_id,numero,x_pos,y_pos,heading,direction,energy,speed,total_distance.x,total_distance.y,high_intensity_distance,sprint_distance,total_effort,colour,total_effort_diff,total_energy_diff,total_dist_diff,total_sprint_diff
E1,P1,T2,18:10:14,600,14,11,11.3399,19.4573,-0.315085,0.461688,1838.8,1.39268,1537.32,1537.95,99.0278,17.5144,1840.62,#3C00FF,3.41,8.26,0.96,0
E1,P1,T2,18:45:14,900,14,11,61.784,62.469,-1.41189,-2.4446,989.461,3.86395,792.04,792.433,33.5425,11.2352,989.638,#3C00FF,6.344,7.573,2.996,0
E1,P1,T2,18:20:14,1200,14,11,40.7163,22.1446,3.08352,-2.57183,3462.81,2.39674,2820.67,2822.01,167.213,25.9373,3464.66,#3C00FF,4.55,2.79,3.65,0
E1,P1,T2,18:25:14,1500,14,11,45.1737,30.4508,-3.07543,2.71391,4153.72,3.43282,3467.75,3468.98,218.188,27.1646,4155.02,#3C00FF,3.41,3.02,2.91,0
E1,P1,T2,18:30:14,1800,14,11,37.9096,42.8521,2.41084,2.15728,5084.16,2.2032,4147.8,4148.38,264.575,38.2654,5085.38,#3C00FF,4.39,3.17,2.69,0
E1,P1,T2,18:35:14,2100,14,11,32.8457,15.8406,2.40001,1.60524,5878.87,3.76307,4828.27,4829.01,304.158,56.1067,5879.66,#3C00FF,2.83,4.51,2.51,0
E1,P1,T2,18:45:14,2400,14,11,45.1737,30.4508,-3.07543,2.71391,4153.72,3.43282,3467.75,3468.98,218.188,27.1646,4155.02,#3C00FF,3.41,3.02,2.91,0
E1,P1,T2,18:45:14,2700,14,11,44.8392,35.178,-1.02823,-0.761621,7588.17,5.12359,6156.71,6159.62,367.113,62.7562,7591.75,#3C00FF,6.05,6.09,4.4,0
E1,P1,T2,18:35:15,69,15,12,61.0476,37.4825,-1.0058,2.54175,6180.01,0.293004,5986.35,5987.15,378.395,219.212,6180.47,#9600FF,2.14,2.89,1.92,0
E1,P1,T2,18:05:15,300,15,12,72.2639,53.7612,-3.07895,1.10865,902.035,1.45616,885.978,887.304,86.4419,46.0356,904.358,#9600FF,9.767,8.845,6.199,0
E1,P1,T2,18:35:15,600,15,12,45.0113,54.7307,2.23514,2.27993,4170.35,1.76589,4070.6,4071.43,261.173,121.717,4170.93,#9600FF,3.29,2.94,2.5,0
E1,P1,T2,18:15:15,900,15,12,89.9105,35.4,0.145739,0.766605,2276.58,3.8067,2214.78,2216.27,193.682,89.1364,2278.07,#9600FF,4.76,5.76,3.5,0
E1,P1,T2,18:20:15,1200,15,12,54.4697,35.6007,-2.06732,-2.88364,2905.42,3.45854,2856.19,2858.78,209.053,105.386,2907.53,#9600FF,6.79,4.87,7.65,0
E1,P1,T2,18:25:15,1500,15,12,53.881,43.5987,2.68743,3.13806,3498.05,0.259096,3509.65,3510.2,244.239,121.717,3498.64,#9600FF,5.75,7.78,6.36,0
E1,P1,T2,18:30:15,1800,15,12,45.0113,54.7307,2.23514,2.27993,4170.35,1.76589,4070.6,4071.43,261.173,121.717,4170.93,#9600FF,3.29,2.94,2.5,0
E1,P1,T2,18:35:15,2100,15,12,61.0756,15.1081,-3.06522,2.66894,4769.35,5.28842,4695.15,4696.73,298.538,167.418,4769.96,#9600FF,1.16,2.47,2.64,0
E1,P1,T2,18:40:15,2400,15,12,78.0393,51.3891,-2.31396,2.56148,5530.08,1.7271,5411.51,5411.99,332.902,199.248,5530.32,#9600FF,0.62,1.38,1.72,0
E1,P1,T2,18:45:15,2700,15,12,61.0476,37.4825,-1.0058,2.54175,6180.01,0.293004,5986.35,5987.15,378.395,219.212,6180.47,#9600FF,2.14,2.89,1.92,0
E1,P2,T1,18:05:001,69,1,12,73.4631,62.4649,2.56537,1.36878,1040.69,2.34007,927.346,927.346,102.168,15.64,1040.69,red,6.24,8.94,3.293,0
E1,P2,T1,18:05:001,300,1,12,73.4631,62.4649,2.56537,1.36878,1040.69,2.34007,927.346,927.346,102.168,15.64,1040.69,red,6.24,8.94,3.293,0
E1,P2,T1,18:10:001,600,1,12,53.3895,12.9889,-1.60188,2.46333,1826.21,2.23176,1735.37,1735.9,179.192,54.0034,1827.96,red,3.37,2.2,2.45,0
E1,P2,T1,18:15:001,900,1,12,82.4518,44.3528,1.4936,1.72962,2298.54,1.91033,2361.94,2363.5,208.945,91.1191,2299.81,red,1.94,0.7,5.61,0
E1,P2,T1,18:20:001,1200,1,12,50.7147,25.5288,-2.86562,-2.86517,3266.46,4.65954,3137.21,3138.93,316.918,123.594,3268.08,red,8.67,8.47,8.35,0
E1,P2,T1,18:25:001,1500,1,12,55.4724,31.8552,2.42888,-2.33645,4032.22,2.17178,3857.46,3857.68,379.87,123.594,4032.6,red,1.7,1.39,1.39,0
E1,P2,T1,18:30:001,1800,1,12,60.2843,57.3384,2.19912,1.22228,4584.61,8.14452,4565.93,4570.77,417.655,165.462,4590.88,red,14.38,8.4,11.63,6.097
E1,P2,T1,18:35:001,2100,1,12,48.2874,19.9592,-3.09759,2.46987,5379.56,3.36715,5369.77,5370.27,496.728,226.592,5380.05,red,1.42,3.41,1.5,0
E1,P2,T1,18:35:001,2400,1,12,48.2874,19.9592,-3.09759,2.46987,5379.56,3.36715,5369.77,5370.27,496.728,226.592,5380.05,red,1.42,3.41,1.5,0
E1,P2,T1,18:35:001,2700,1,12,50.7147,25.5288,-2.86562,-2.86517,3266.46,4.65954,3137.21,3138.93,316.918,123.594,3268.08,red,8.67,8.47,8.35,0
E1,P2,T1,18:01:092,69,2,12,26.6202,29.4766,0.80905,0.881905,150.669,0.935549,255.647,256.339,0,0,150.857,#FF5A00,0,0,0,0
E1,P2,T1,18:15:002,300,2,12,94.025,30.8664,2.60341,1.80343,1949.41,4.81037,1958.35,1962.2,27.8071,11.2042,1956.67,#FF5A00,16.62,9.37,10.16,0
E1,P2,T1,18:25:002,600,2,12,33.0125,38.2215,2.39509,1.90482,3005.12,2.57842,3115.21,3115.9,88.2305,13.5063,3006.16,#FF5A00,2.13,2,1.4,0
E1,P2,T1,18:35:002,900,2,12,30.035,29.7837,1.58107,1.48169,4159.94,2.67487,4283.59,4286.29,136.454,13.5063,4162.24,#FF5A00,15.26,13.1,22.61,0
E1,P2,T1,18:15:002,900,2,12,94.025,30.8664,2.60341,1.80343,1949.41,4.81037,1958.35,1962.2,27.8071,11.2042,1956.67,#FF5A00,16.62,9.37,10.16,0
E1,P2,T1,18:25:002,1500,2,12,33.0125,38.2215,2.39509,1.90482,3005.12,2.57842,3115.21,3115.9,88.2305,13.5063,3006.16,#FF5A00,2.13,2,1.4,0
E1,P2,T1,18:25:002,1800,2,12,33.0125,38.2215,2.39509,1.90482,3005.12,2.57842,3115.21,3115.9,88.2305,13.5063,3006.16,#FF5A00,2.13,2,1.4,0
E1,P2,T1,18:35:002,2100,2,12,30.035,29.7837,1.58107,1.48169,4159.94,2.67487,4283.59,4286.29,136.454,13.5063,4162.24,#FF5A00,15.26,13.1,22.61,0
E1,P2,T1,18:40:002,2400,2,12,47.2972,49.3459,1.75023,-1.82187,4900.81,2.67166,4855.44,4855.71,136.454,13.5063,4900.99,#FF5A00,3.45,3.27,2.63,0
E1,P2,T1,18:40:002,2700,2,12,94.025,30.8664,2.60341,1.80343,1949.41,4.81037,1958.35,1962.2,27.8071,11.2042,1956.67,#FF5A00,16.62,9.37,10.16,0
E1,P2,T1,18:01:095,69,5,12,35.5428,30.3117,1.04015,-0.170872,364.374,0.644301,297.906,298.337,0,0,365.091,#F0FF00,0,0,0,0
E1,P2,T1,18:10:005,300,5,12,20.3851,24.1478,-1.86853,1.54269,2261.34,1.58029,1581.49,1581.49,86.3103,11.3954,2261.34,#F0FF00,2.91,2.91,1.94,0
E1,P2,T1,18:10:005,600,5,12,20.3851,24.1478,-1.86853,1.54269,2261.34,1.58029,1581.49,1581.49,86.3103,11.3954,2261.34,#F0FF00,2.91,2.91,1.94,0
