Club,Vs,GolFavor,GolContra,PosesionCl,TirosCl,TirosAGolCl,FaltasCl,CornersCl,ParadasCl,FueraJuegoCl,TAmarillaCl,TRojaCl,PosesionCont,TirosCont,TirosAGolCont,FaltasCont,CornersCont,ParadasCont,FueraJuegoCont,TAmarillaCont,TRojaCont,Tipo,Fecha,Lugar,AsistenciaEstadio,Resultado,AsistenciaEstadioPje,key,Ataque,Defensa
Pachuca,Monterrey,3,1,50,16,9,18,5,2,5,2,1,50,11,4,18,4,6,3,3,1,Local,30 de ene. 08:06 p. m.,Estadio Hidalgo,24567,1,82,Pachuca Local,0.49380077,2.010129094
Monterrey,Pachuca,1,3,50,11,4,18,4,6,3,3,1,50,16,9,18,5,2,5,2,1,Visitante,30 de ene. 08:06 p. m.,Estadio Hidalgo,24567,0,82,Monterrey Visitante,1.385148134,1.084207464
Atlas,Pumas,1,1,41,13,5,17,7,5,4,4,1,59,14,7,8,4,3,3,2,0,Local,30 de ene. 08:30 p. m.,Estadio Jalisco,43752,0,78,Atlas Local,0.952330056,0.986790646
Pumas,Atlas,1,1,59,14,7,8,4,3,3,2,0,41,13,5,17,7,5,4,4,1,Visitante,30 de ene. 08:30 p. m.,Estadio Jalisco,43752,0,78,Pumas Visitante,1.200461716,0.542103732
Dorados,America,0,3,51,11,5,14,4,5,1,3,0,49,17,8,27,4,5,3,4,0,Local,30 de ene. 09:00 p. m.,Estadio Banorte,18933,0,82,Dorados Local,0.634886704,1.461912068
America,Dorados,3,0,49,17,8,27,4,5,3,4,0,51,11,5,14,4,5,1,3,0,Visitante,30 de ene. 09:00 p. m.,Estadio Banorte,18933,1,82,America Visitante,1.81328483,0.831636407
Toluca,Puebla,1,1,45,13,6,18,2,4,2,1,0,55,11,5,15,7,4,4,3,0,Local,31 de ene. 12:00 p. m.,Estadio Nemesio Diez Riega,14221,0,53,Toluca Local,1.015818726,0.822325538
Puebla,Toluca,1,1,55,11,5,15,7,4,4,3,0,45,13,6,18,2,4,2,1,0,Visitante,31 de ene. 12:00 p. m.,Estadio Nemesio Diez Riega,14221,0,53,Puebla Visitante,1.163524432,0.609866699
Queretaro,Veracruz,2,1,54,15,5,22,6,3,0,3,0,46,16,5,13,6,2,0,5,0,Local,5 de feb. 07:30 p. m.,La Corregidora,19287,1,54,Queretaro Local,1.385207354,0.971839273
Veracruz,Queretaro,1,2,46,16,5,13,6,2,0,5,0,54,15,5,22,6,3,0,3,0,Visitante,5 de feb. 07:30 p. m.,La Corregidora,19287,0,54,Veracruz Visitante,1.015775298,1.287496364
Chiapas,Tigres,1,3,29,8,3,10,1,4,5,2,2,71,20,7,16,3,2,6,3,0,Local,5 de feb. 09:00 p. m.,Estadio Cuauhtemoc,17573,0,34,Chiapas Local,0.39680419,1.130697615
Tigres,Chiapas,3,1,71,20,7,16,3,2,6,3,0,29,8,3,10,1,4,5,2,2,Visitante,5 de feb. 09:00 p. m.,Estadio Cuauhtemoc,17573,1,34,Tigres Visitante,2.039945434,0.665309126
Tijuana,Cruz Azul,1,1,52,11,3,13,2,1,0,4,0,48,10,2,18,8,2,0,3,1,Local,5 de feb. 09:30 p. m.,Estadio Caliente,27333,0,93,Tijuana Local,1.206284737,1.397953415
Cruz Azul,Tijuana,1,1,48,10,2,18,8,2,0,3,1,52,11,3,13,2,1,0,4,0,Visitante,5 de feb. 09:30 p. m.,Estadio Caliente,27333,0,93,Cruz Azul Visitante,1.200461716,1.016444498
America,Santos Laguna,2,0,62,18,5,17,6,1,2,2,0,38,10,1,17,8,4,3,3,0,Local,6 de feb. 05:00 p. m.,Azteca Stadium,29851,1,29,America Local,1.385207354,1.121353007
Santos Laguna,America,0,2,38,10,1,17,8,4,3,3,0,62,18,5,17,6,1,2,2,0,Visitante,6 de feb. 05:00 p. m.,Azteca Stadium,29851,0,29,Santos Laguna Visitante,0.997306656,0.670853368
Puebla,Atlas,4,1,42,10,4,12,2,6,0,4,0,58,17,8,11,13,1,0,3,0,Local,6 de feb. 07:00 p. m.,Estadio Cuauhtemoc,42554,1,82,Puebla Local,0.888841385,0.822325538
Atlas,Puebla,1,4,58,17,8,11,13,1,0,3,0,42,10,4,12,2,6,0,4,0,Visitante,6 de feb. 07:00 p. m.,Estadio Cuauhtemoc,42554,0,82,Atlas Visitante,1.246633321,0.731840038
Monterrey,Dorados,3,0,58,12,7,21,8,2,4,5,0,42,9,2,15,5,4,4,2,0,Local,6 de feb. 07:00 p. m.,Estadio BBVA Bancomer,50268,1,94,Monterrey Local,1.058144506,1.461912068
Dorados,Monterrey,0,3,42,9,2,15,5,4,4,2,0,58,12,7,21,8,2,4,5,0,Visitante,6 de feb. 07:00 p. m.,Estadio BBVA Bancomer,50268,0,94,Dorados Visitante,0.83108888,1.084207464
Leon,Morelia,1,2,48,16,3,11,7,2,3,1,0,52,9,4,10,2,2,6,3,0,Local,6 de feb. 08:06 p. m.,Estadio Leon,15465,0,50,Leon Local,0.79360838,0.822325538
Morelia,Leon,2,1,52,9,4,10,2,2,6,3,0,48,16,3,11,7,2,3,1,0,Visitante,6 de feb. 08:06 p. m.,Estadio Leon,15465,1,50,Morelia Visitante,1.14274721,0.762333373
Guadalajara,Toluca,1,1,60,20,6,14,10,3,0,1,0,40,15,4,12,7,6,0,2,1,Local,6 de feb. 09:00 p. m.,Estadio Chivas,37610,0,75,Guadalajara Local,0.555525866,1.747441769
